Order,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,top-right-square-x,top-right-square-o,top-right-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,top-left-square-x,top-left-square-o,top-left-square-b,middle-left-square-x,middle-left-square-o,middle-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,Rule_Length,Rule,Class
595,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,3,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
310,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,3,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
482,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,3,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
314,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,3,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
588,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,3,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
557,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,3,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
137,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,3,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
384,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,3,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
39,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,3,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
432,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,3,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative
