Order,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-left-square-x,top-left-square-o,top-left-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,middle-left-square-x,middle-left-square-o,middle-left-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,top-right-square-x,top-right-square-o,top-right-square-b,Rule_Length,Rule
742,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5)
743,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5)
744,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5)
745,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,3,(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5)
746,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5)
747,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,3,(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5)
748,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5)
755,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,3,(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5)
756,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,3,(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5)
757,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,3,(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5)
758,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,3,(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x <= 0.5)
